349;Alm. Salg;35000;0;08-09-1998;
350;Alm. Salg;1190000;17246;13-02-2006;
351;Alm. Salg;820000;4205;03-04-1995;
352;Alm. Salg;2395000;16073;07-03-2006;
353;Alm. Salg;2125784;20440;12-04-2006;
354;Alm. Salg;1620000;11571;27-04-2014;
355;Alm. Salg;1245000;21101;17-01-2007;
356;Alm. Salg;2640000;18206;24-01-2013;
357;Alm. Salg;712700;6919;07-03-2006;
358;Alm. Salg;1075000;14144;20-10-2014;
359;Alm. Salg;915000;8714;29-01-2003;
360;Alm. Salg;4025000;32200;12-03-2007;
361;Fam. Salg;572000;2723;21-04-1992;
362;Alm. Salg;2140000;14657;07-09-2015;
363;Alm. Salg;485000;0;23-04-2001;
364;Alm. Salg;1090000;7898;29-05-2013;
365;Alm. Salg;1550000;11923;05-02-2009;
366;Alm. Salg;980000;8521;11-05-2002;
367;Alm. Salg;675000;4530;05-10-1995;
368;Alm. Salg;570000;4222;01-10-1992;
369;Fam. Salg;702578;0;08-06-1992;
370;Fam. Salg;386750;4203;18-05-2011;
371;Alm. Salg;440000;7213;25-11-2014;
372;Alm. Salg;1275000;9042;29-12-2006;
373;Alm. Salg;2550000;15088;27-06-2013;
374;Fam. Salg;440000;3666;08-05-1995;
375;Alm. Salg;2300000;14375;01-08-2001;
376;Alm. Salg;515000;4858;02-07-2003;
377;Alm. Salg;1862500;14437;28-08-2014;
378;Alm. Salg;435000;4728;08-11-1995;
379;Alm. Salg;555000;0;30-06-2010;
380;Alm. Salg;2798000;19566;18-03-2015;
381;Alm. Salg;1875000;16304;28-12-2007;
382;;675000;6887;19-12-2013;
383;Alm. Salg;1400000;12962;04-11-2008;
384;Alm. Salg;165600;2300;03-06-1996;
385;Alm. Salg;1445000;13136;12-01-2007;
386;Fam. Salg;474000;0;24-11-1995;
387;Alm. Salg;437500;1927;18-04-1999;
388;Alm. Salg;685000;10378;26-05-2004;
389;Alm. Salg;1950000;8863;08-08-2001;
390;Alm. Salg;2625000;19886;27-08-2012;
391;Alm. Salg;1900000;15573;11-02-2014;
392;Alm. Salg;540000;4655;10-01-1992;
393;Alm. Salg;1765000;8737;06-06-2007;
394;Fam. Salg;204000;8500;23-06-2005;
395;Alm. Salg;775000;9226;12-05-2006;
396;Alm. Salg;1075000;7072;15-05-2001;
397;Alm. Salg;505000;4316;05-03-2003;
398;Alm. Salg;1000000;9259;18-09-2015;
399;Alm. Salg;3150000;18750;20-06-2010;
400;Alm. Salg;2100000;19444;03-04-2015;
401;Alm. Salg;1420000;9403;26-09-2010;
402;Alm. Salg;1000000;7874;22-11-2013;
403;Alm. Salg;1030000;6397;28-03-2006;
404;Alm. Salg;1000000;10526;22-05-2002;
405;Alm. Salg;625000;7812;19-10-1999;
406;Alm. Salg;160000;2285;26-02-1995;
407;Alm. Salg;1575000;13125;22-11-2006;
408;Alm. Salg;395000;10128;09-09-2013;
409;Alm. Salg;7200000;41142;04-04-2008;
410;Alm. Salg;666000;5203;06-06-2004;
411;Alm. Salg;700000;7777;19-05-2004;
412;Alm. Salg;565000;7243;23-04-2006;
413;Alm. Salg;857320;0;10-07-1995;
414;Alm. Salg;1499000;12811;26-02-2009;
415;Alm. Salg;630000;5727;25-07-1996;
416;Alm. Salg;450000;7758;19-10-2011;
417;Alm. Salg;1000000;6535;07-10-2009;
418;Alm. Salg;925000;11011;22-08-2014;
419;Alm. Salg;850000;4146;12-04-1995;
420;Alm. Salg;120000;1142;06-11-2003;
421;Alm. Salg;147420;915;28-10-2003;
422;Alm. Salg;2185000;16937;21-09-2010;
423;Alm. Salg;3735000;27065;25-03-2015;
424;Alm. Salg;403000;4197;09-02-2006;
425;Alm. Salg;935000;13357;10-08-2011;
426;Alm. Salg;1050000;7553;21-04-2004;
427;Alm. Salg;270000;1588;28-10-2013;
428;Alm. Salg;551552;4924;07-08-1998;
429;Alm. Salg;546000;0;22-12-1995;
430;Alm. Salg;1137500;7199;15-06-2000;
431;Alm. Salg;530000;0;07-06-2002;
432;Alm. Salg;815000;0;31-10-2004;
433;Alm. Salg;1525000;15561;26-11-2009;
434;Alm. Salg;2325000;17350;11-07-2007;
435;Alm. Salg;1172696;8258;30-01-1996;
436;Alm. Salg;686050;7376;25-03-1997;
437;Alm. Salg;360000;2647;10-08-2010;
438;Alm. Salg;490000;3288;11-08-1999;
439;;470000;2748;02-06-1993;
440;Alm. Salg;1646000;8994;13-06-1996;
441;Alm. Salg;1580000;15643;27-03-2006;
442;Alm. Salg;900000;6250;13-05-2011;
443;Alm. Salg;7100000;0;06-09-2006;
444;Alm. Salg;660000;5789;23-02-2004;
445;Alm. Salg;1575000;17307;19-04-2013;
446;Alm. Salg;575000;7187;07-03-2003;
447;Alm. Salg;383000;7092;25-05-2011;
448;Alm. Salg;295000;1520;27-09-1999;
449;Alm. Salg;1095000;12443;05-02-2002;
450;Alm. Salg;1325000;9888;24-09-1995;
451;Alm. Salg;395000;0;29-07-2003;
452;Alm. Salg;1095000;10631;05-03-2004;
453;Alm. Salg;1270000;10948;11-11-2007;
454;Alm. Salg;516494;6456;09-01-1998;
455;Alm. Salg;564392;6413;20-08-2015;
456;Alm. Salg;186972;1558;15-04-1994;
457;;64100;610;02-07-2013;
458;Alm. Salg;525172;3751;14-08-1997;
459;Alm. Salg;396000;2490;03-12-2003;
460;Alm. Salg;972240;5144;11-11-1997;
461;Alm. Salg;15500000;0;19-09-2007;
462;Alm. Salg;510000;3805;29-04-1992;
463;;450000;3571;13-04-1992;
464;Alm. Salg;865000;8160;18-08-2005;
465;Alm. Salg;1920000;12000;21-06-2011;
466;Alm. Salg;1560000;17142;24-08-2011;
467;Alm. Salg;1598000;10870;10-09-2008;
468;Alm. Salg;740000;7115;11-04-1999;
469;Alm. Salg;715000;5458;09-09-2004;
470;Alm. Salg;2125000;17708;30-09-2012;
471;Fam. Salg;697000;9171;04-02-2008;
472;;614016;3654;16-09-2005;
473;Alm. Salg;860000;10617;28-11-2003;
474;Alm. Salg;790000;11617;07-08-2012;
475;Alm. Salg;700000;5000;29-09-2005;
476;Alm. Salg;469401;3610;08-04-1996;
477;Alm. Salg;542900;3310;10-11-1994;
478;Alm. Salg;1098000;0;23-06-2004;
479;Alm. Salg;1165000;8759;15-04-2003;
480;Alm. Salg;330000;4583;13-03-2013;
481;Alm. Salg;1380000;33658;28-09-2006;
482;Alm. Salg;1155000;13125;13-03-2015;
483;Alm. Salg;295000;1705;28-09-1998;
484;Alm. Salg;966000;0;06-04-1994;
485;Alm. Salg;1285000;10362;18-01-2001;
486;Alm. Salg;633060;7193;17-07-2000;
487;Fam. Salg;731000;6706;13-08-2001;
488;Alm. Salg;154000;2961;25-03-1996;
489;Alm. Salg;1225000;20081;05-08-2015;
490;Alm. Salg;1112500;8428;27-12-2013;
491;Alm. Salg;1695000;10089;16-02-2006;
492;;2600000;8904;20-12-1999;
493;Alm. Salg;560000;7000;20-07-2015;
494;Alm. Salg;1325000;9601;25-05-2007;
495;Alm. Salg;1900000;0;04-04-2005;
496;Alm. Salg;1505000;13681;02-02-2006;
497;Alm. Salg;1420000;12241;23-07-2011;
498;Alm. Salg;527000;5988;04-11-1996;
499;Alm. Salg;1450000;10507;30-06-2005;
500;Alm. Salg;966000;8117;12-08-1997;
501;Fam. Salg;580000;7341;30-04-2001;
502;Fam. Salg;225000;3879;11-09-2005;
503;;3300000;41250;30-07-2015;
504;Alm. Salg;1130000;18833;30-12-2014;
505;Alm. Salg;1100000;10377;05-12-2014;
506;Alm. Salg;627000;12540;31-10-2008;
507;Alm. Salg;880000;10232;14-05-2004;
508;Alm. Salg;250000;1024;06-10-2007;
509;Alm. Salg;3011000;12598;30-06-1998;
510;Alm. Salg;695000;7897;22-03-2004;
511;Alm. Salg;900000;0;22-06-2000;
512;Alm. Salg;850000;9883;27-06-2008;
513;Alm. Salg;2638500;19988;29-09-2014;
514;Alm. Salg;1900000;11875;15-02-2006;
515;Alm. Salg;960000;8000;13-02-2003;
516;Alm. Salg;295000;0;28-10-1993;
517;Alm. Salg;260000;3513;16-06-2004;
518;Alm. Salg;654812;9354;15-07-1997;
519;Fam. Salg;623000;10929;16-08-2006;
520;Alm. Salg;579020;0;21-09-1995;
521;Alm. Salg;774000;6046;14-04-1999;
522;Alm. Salg;1585000;7204;22-06-1995;
523;Fam. Salg;1109751;8807;13-03-2013;
524;Alm. Salg;850000;8173;19-12-2003;
525;Fam. Salg;1700000;7870;04-12-2004;
526;Alm. Salg;300000;2290;30-09-2013;
527;Alm. Salg;1375000;10658;15-12-1998;
528;Alm. Salg;730000;7227;22-08-2002;
529;Alm. Salg;1495000;15255;03-05-2001;
530;Alm. Salg;252679;2178;23-09-1997;
531;Alm. Salg;1575000;11250;07-08-2013;
532;Alm. Salg;5400000;28723;08-09-2011;
533;Alm. Salg;870000;11917;22-10-2006;
534;Alm. Salg;725000;3059;10-03-2004;
535;Alm. Salg;2547000;16756;14-09-2005;
536;Alm. Salg;1575000;17897;15-08-2013;
537;Alm. Salg;870000;11012;22-08-2014;
538;Alm. Salg;2320000;15675;24-11-2014;
539;Alm. Salg;795000;15900;28-12-2010;
540;Alm. Salg;550000;4741;14-12-2007;
541;Fam. Salg;433500;5222;19-03-2008;
542;Alm. Salg;975000;16250;16-01-2007;
543;Alm. Salg;610000;8356;06-06-2001;
544;Alm. Salg;1815000;4641;05-09-2011;
545;Alm. Salg;425000;4941;07-08-1992;
546;Alm. Salg;1300000;7784;13-02-2014;
547;;177486;991;28-10-1994;
548;Alm. Salg;380079;0;04-10-2001;
549;Alm. Salg;2775000;18500;09-11-2007;
550;Alm. Salg;2350000;16906;16-06-2015;
551;Alm. Salg;490000;0;17-01-1995;
552;Alm. Salg;1300000;15476;03-06-2014;
553;Alm. Salg;1062500;5592;23-11-2005;
554;Alm. Salg;1400000;18181;15-11-2013;
555;Fam. Salg;935000;5955;30-10-2008;
556;Alm. Salg;1395000;11625;30-03-2006;
557;Alm. Salg;1410000;11015;02-07-2015;
558;Alm. Salg;1125000;8272;31-10-2003;
559;Alm. Salg;2265000;17030;10-03-2015;
560;Alm. Salg;930056;4450;01-06-2009;
561;Alm. Salg;1355000;9890;15-03-2013;
562;Alm. Salg;3025000;16351;25-04-2012;
563;Alm. Salg;675000;8035;18-08-2005;
564;Alm. Salg;967820;6244;30-10-1994;
565;Alm. Salg;813000;5245;23-03-2012;
566;Alm. Salg;850000;5312;15-08-2008;
567;Alm. Salg;795000;13032;19-10-2008;
568;Alm. Salg;475000;3991;24-11-2011;
569;Alm. Salg;860000;9885;19-11-2013;
570;Alm. Salg;785000;5858;19-11-2013;
571;Alm. Salg;845000;4694;06-10-2006;
572;Alm. Salg;1140000;14805;22-09-2006;
573;Alm. Salg;1370000;8838;06-07-2005;
574;Alm. Salg;310000;3522;22-10-2013;
575;Alm. Salg;305000;4013;20-02-2002;
576;Alm. Salg;725000;5141;21-10-2008;
577;Alm. Salg;1620000;16530;19-06-2015;
578;Alm. Salg;600000;9836;30-09-2003;
579;Alm. Salg;1950000;17105;08-11-2007;
